,0.5,1.68,2.86,4.04,5.22,6.4,7.58,8.76,9.94,11.12,12.3,13.48,14.66,15.84,17.02,18.2,19.38,20.56,21.74,22.92,24.1,25.28,26.46,27.64,28.82,30.0
0.0,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0004,-0.0006,-0.0008,-0.0012,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006
0.045,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0009,0.0004,0.0004,-0.0015,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006
0.09,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0011,0.0002,0.001,0.001,0.0004,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006
0.134,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,0.0012,0.0,-0.0003,0.0007,-0.0001,-0.0002,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006
0.179,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0027,0.0017,-0.0012,0.0002,-0.001,0.0017,-0.0003,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006
0.224,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0007,0.0009,0.0004,0.0002,-0.0008,0.0001,0.001,-0.0015,-0.0004,-0.0003,-0.0006,0.0004,-0.0009,0.0054,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006
0.269,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0017,0.0008,0.0002,0.0001,-0.0002,0.0019,-0.0005,-0.0005,-0.0008,0.0004,0.0013,0.0005,-0.0014,-0.0012,-0.0004,-0.0003,0.0006,0.0017,-0.001,0.0011
0.314,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0007,0.0006,0.0001,-0.0023,-0.0006,-0.0001,0.001,0.0005,-0.0018,-0.0015,0.0007,0.0002,0.001,0.0002,0.0018,-0.0005,-0.0007,-0.0007,-0.0007,-0.0007
0.358,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,0.0008,-0.0004,-0.0004,-0.001,0.0004,0.0026,-0.001,-0.0008,0.0004,-0.0012,0.0014,-0.0014,-0.0029,-0.0003,0.001,0.0208,-0.0,-0.0011,0.0008
