R,Fundamentalists,Trend followers,Adapters,Learners,Optimists,Pessimists,std_x
1.87764,1.13063,1.08183,0.83129,0.32039,1.19265,1.16861,0.62672
1.88876,1.1331,1.08357,0.83862,0.32532,1.19164,1.17455,0.62292
1.89989,1.13584,1.08836,0.84601,0.33071,1.19617,1.17552,0.6192
1.91101,1.13816,1.09065,0.85328,0.33566,1.19626,1.18006,0.61549
1.92213,1.13998,1.09345,0.85959,0.34062,1.1979,1.18206,0.61192
1.93326,1.1429,1.09735,0.86696,0.34584,1.2007,1.1851,0.60829
1.94438,1.14476,1.10071,0.8733,0.35088,1.20335,1.18616,0.60487
1.95551,1.14717,1.10284,0.88004,0.35589,1.20333,1.19101,0.60123
1.96663,1.1489,1.10598,0.88608,0.3609,1.20574,1.19206,0.5979
1.97775,1.15122,1.10876,0.89271,0.36616,1.20698,1.19545,0.59453
1.98888,1.15352,1.11324,0.89892,0.37125,1.21161,1.19543,0.59117
2.0,1.15461,1.11438,0.9042,0.3758,1.21088,1.19834,0.58785
