,0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95
0.0,-0.0339,-0.0322,-0.0339,-0.033,-0.0313,-0.0286,-0.0201,-0.0065,0.0143,0.0543,0.0997,0.1475,0.1572,0.0251,0.0133,0.0048,0.0012,0.0004,0.0009,0.0022
0.052,-0.0336,-0.0345,-0.0369,-0.0353,-0.0334,-0.0331,-0.0297,-0.017,-0.0023,0.0262,0.0697,0.1354,0.1745,0.0298,0.0154,0.0053,0.0011,0.0003,0.0009,0.0021
0.104,-0.0356,-0.0366,-0.038,-0.0358,-0.035,-0.0337,-0.028,-0.023,-0.0123,0.0077,0.0476,0.1044,0.1731,0.1773,0.0172,0.0058,0.0011,0.0002,0.0008,0.0021
0.156,-0.034,-0.0354,-0.034,-0.034,-0.0337,-0.0305,-0.0292,-0.0242,-0.0195,-0.0008,0.0342,0.069,0.1498,0.1999,0.0203,0.0065,0.001,0.0001,0.0007,0.0021
0.208,-0.0324,-0.032,-0.0338,-0.0327,-0.0317,-0.0305,-0.0268,-0.0258,-0.0231,-0.008,0.0067,0.0492,0.1129,0.193,0.1407,0.0073,0.0009,-0.0001,0.0007,0.0021
0.261,-0.0305,-0.0304,-0.0306,-0.03,-0.0307,-0.0286,-0.0263,-0.025,-0.0244,-0.0147,-0.0027,0.0349,0.088,0.1802,0.2198,0.0084,0.0007,-0.0003,0.0007,0.0021
0.313,-0.0279,-0.0285,-0.0281,-0.0279,-0.0285,-0.0265,-0.025,-0.0258,-0.0259,-0.0229,-0.0149,0.0062,0.0577,0.1396,0.2177,0.1017,0.0005,-0.0004,0.0006,0.0021
0.365,-0.026,-0.0264,-0.026,-0.0255,-0.0256,-0.0247,-0.0247,-0.0248,-0.0248,-0.024,-0.0151,-0.0049,0.0303,0.1043,0.202,0.1828,0.0006,-0.0006,0.0006,0.0022
0.417,-0.025,-0.0249,-0.0244,-0.0244,-0.0237,-0.0235,-0.0229,-0.0232,-0.023,-0.0247,-0.0186,-0.0094,0.0125,0.0665,0.1808,0.2445,0.0016,-0.0007,0.0006,0.0022
0.469,-0.0243,-0.024,-0.0238,-0.0234,-0.0232,-0.0231,-0.0222,-0.0225,-0.0204,-0.0227,-0.0173,-0.0108,0.0008,0.0551,0.1225,0.2376,0.0038,-0.0008,0.0006,0.0023
0.521,-0.0241,-0.0236,-0.0236,-0.0234,-0.0226,-0.0224,-0.0216,-0.0203,-0.0209,-0.0187,-0.0155,-0.0117,0.0039,0.0309,0.1017,0.2,0.2131,-0.0008,0.0007,0.0023
0.573,-0.024,-0.0236,-0.0236,-0.0235,-0.0225,-0.0217,-0.02,-0.0192,-0.0166,-0.0165,-0.0138,-0.0086,0.0113,0.0344,0.0794,0.1468,0.2573,-0.0007,0.0007,0.0024
0.625,-0.0235,-0.023,-0.0219,-0.0208,-0.0199,-0.0194,-0.0172,-0.0154,-0.0127,-0.0089,-0.003,0.0079,0.0194,0.0294,0.0678,0.1209,0.2226,0.0005,0.0009,0.0026
0.677,-0.0192,-0.0179,-0.0159,-0.0146,-0.0125,-0.01,-0.0093,-0.0063,-0.002,0.0001,0.0078,0.0164,0.0303,0.0459,0.0636,0.1072,0.1742,0.262,0.0011,0.0027
0.729,-0.0124,-0.0101,-0.008,-0.0056,-0.0025,-0.0006,0.0022,0.0064,0.0095,0.0145,0.0191,0.0294,0.0401,0.0636,0.0836,0.0974,0.1542,0.2655,0.0015,0.003
0.782,-0.0039,-0.0019,0.0024,0.006,0.0077,0.012,0.0151,0.0184,0.0245,0.0279,0.0339,0.0432,0.0609,0.076,0.0932,0.119,0.1468,0.2257,0.0022,0.0033
0.834,0.0057,0.0112,0.0157,0.0198,0.0243,0.0266,0.0301,0.0323,0.0369,0.043,0.0502,0.0611,0.074,0.0922,0.1151,0.1362,0.1588,0.2015,0.1351,0.0038
0.886,0.0182,0.0266,0.0339,0.0383,0.0433,0.0448,0.0467,0.0486,0.0542,0.0607,0.0667,0.0735,0.0897,0.1157,0.1322,0.1564,0.1766,0.2052,0.2657,0.0045
0.938,0.0332,0.0447,0.0544,0.0594,0.0641,0.0658,0.0656,0.0658,0.0692,0.0769,0.0863,0.0921,0.1022,0.1311,0.1544,0.1853,0.2048,0.2227,0.2578,0.0054
0.99,-0.0004,-0.0005,-0.0005,-0.0003,-0.0001,0.0003,0.0758,0.0773,0.0859,0.0999,0.108,0.1095,0.1199,0.1524,0.2009,0.2334,0.2604,0.283,0.2294,0.0081
